"Program Name","Institution Name",District,"Accredited Date","Expiry Date",Status
"Higher Education Access Programme – Humanities","Islamic University in Uganda",Mbale,29/Aug/2025,29/Aug/2030,Active
"Master of Arts in Sociology","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Postgraduate Diploma in Social Work","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Master of Science in Ecology and Conservation Biology","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"PhD in Psychology","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Diploma in Primary Education","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Education – Primary","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Master of Psychology","Kabale University",Kabale,29/Aug/2025,29/Aug/2030,Active
"Diploma in Secondary Education – Science","Kumi University",Kumi,29/Aug/2025,29/Aug/2030,Active
"Higher Education Access Programme – Biological Sciences","Kumi University",Kumi,29/Aug/2025,29/Aug/2030,Active
"Higher Education Access Programme – Physical Sciences","Kumi University",Kumi,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Science in Property Valuation and Land Management","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Education Primary","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Master of Science in Sports Science","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Computer Graphic Design","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Community Education and Development","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Postgraduate Diploma in Educational Leadership and Management","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Master of Educational Leadership and Management","Gulu University",Gulu,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Counselling Psychology","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"PhD in Management","Makerere University",Kampala,29/Aug/2025,29/Aug/2030,Active
"PhD in Accounting and Finance","Makerere University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Education Primary Direct – Arts","Metropolitan International University (MIU)",Kisoro,29/Aug/2025,29/Aug/2030,Active
"Diploma in Pharmacy","Ndejje University",Luwero,29/Aug/2025,29/Aug/2030,Active
"Diploma in Medical Laboratory Technology","Ndejje University",Luwero,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Statistics and Data Science","Kyambogo University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Science in Epidemiology and Biostatistics","Seeta University",Mukono,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Science in Environmental and Occupational Health","Seeta University",Mukono,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Laws","Seeta University",Mukono,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Pharmacy","Seeta University",Mukono,29/Aug/2025,29/Aug/2030,Active
"Diploma in Pharmacy","St. Peters University",Luwero,29/Aug/2025,29/Aug/2030,Active
"Diploma in Clinical Medicine and Community Health","St. Peters University",Luwero,29/Aug/2025,29/Aug/2030,Active
"Postgraduate Diploma in Public Administration and Management","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Postgraduate Diploma in Business Administration","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Science with Education","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Higher Education Access Programme – Biological Sciences","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Higher Education Access Programme – Physical Sciences","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Early Childhood Education","Valley University of Science & Technology",Bushenyi,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Film, TV Production, and Digital Media","Victoria University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Arts in Music and Dance","Victoria University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Diploma in Music","Victoria University",Kampala,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Education – Early Childhood","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Agribusiness Management","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Public Administration","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Diploma in Public Administration","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Information Technology","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Diploma in Information Technology","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Business Administration","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Diploma in Business Administration","Kabale University, Rukungiri Campus",Rukungiri,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Laws","Gulu University",Gulu,29/Aug/2025,29/Aug/2030,Active
"Bachelor of Science in Mathematics","Kampala International University",Kampala,07/Oct/2025,07/Oct/2030,Active
"Bachelor of Social and Community Develpoment","Kampala International University",Kampala,14/Oct/2025,14/Oct/2030,Active
"Bachelor of Catering and Hotel Management","Kampala International University",Kampala,14/Oct/2025,14/Oct/2030,Active
"Bachelor of International Relations","Kampala International University",Kampala,14/Oct/2025,14/Oct/2030,Active
"Certificate in Christian Ministry","Africa Renewal University",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Certificate in Child Development and Christian Ministry","Africa Renewal University",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Certificate in Islamic Studies","Al-Mustafa Islamic College",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Procurement and Logistics Management","Bishop Stuart University",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Economics and Management","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Public Administration and Management","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Education – Secondary","Insan International University  (formerly Islamic Call University College)",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Education – Primary","Insan International University  (formerly Islamic Call University College)",Kampala,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Human Resource Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Business Administration","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Institutional Governance and Leadership","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Monitoring and Evaluation","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in Crop Production and Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Accounting and Finance","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Records and Information Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Procurement and Logistics Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Procurement and Logistics Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Governance and Community Development","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Social Work and Social Administration","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Development Studies","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Administrative and Secretarial Studies","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Public Administration","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Human Resource Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Arts with Education","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Human Resource Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Business Administration","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Business Administration","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Master of Science in Materials Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Oil and Gas Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Chemical and Process Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Engineering in Electrical Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Master of Science in Geotechnical Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Master of Science in Non – Sewered Sanitation","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Non – Sewered Sanitation","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Mechatronics and Biomedical Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Education (Primary)","Luigi Giussani Institute of Higher Education (LGIHE)",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Nursing Science","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Master of Nursing Science in Midwifery and Women Health","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Microfinance and Cooperatives Management","St. Lawrence University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science with Education","St. Peters University",Luwero,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Public Health","St. Peters University",Luwero,03/Nov/2025,03/Nov/2030,Active
"Diploma in Social Work and Social Administration","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Banking and Finance","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Financial Management","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Public Administration and Management","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Master of Education","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,03/Nov/2025,03/Nov/2030,Active
"Masters in Artificial Intelligence and Data Science","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,03/Nov/2025,03/Nov/2030,Active
"Master of Laws","Universal Technology and Management University (UTAMU), Kungu Campus",Luwero,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Higher Education","Victoria University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Cyber Security and Digital Forensics","Victoria University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Artificial Intelligence and Data Science","Victoria University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Public Health","Cavendish University Uganda, Mukono Campus",Mukono,03/Nov/2025,03/Nov/2030,Active
"Advanced Diploma in Health Leadership and Management","Cavendish University Uganda, Mukono Campus",Mukono,03/Nov/2025,03/Nov/2030,Active
"Higher Education Certificate – Biological Sciences","Cavendish University Uganda, Mukono Campus",Mukono,03/Nov/2025,03/Nov/2030,Active
"Higher Education Certificate – Physical Sciences","Cavendish University Uganda, Mukono Campus",Mukono,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Laws","Uganda Pentecostal University, Kampala",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Primary Education","St. Paul Teachers’ Training Institute, Nazigo",Kayunga,03/Nov/2025,03/Nov/2030,Active
"Diploma in Early Childhood Education","St. Paul Teachers’ Training Institute, Nazigo",Kayunga,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Administration","St. Peters University, Kampala Campus",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Information Technology","St. Peters University, Kampala Campus",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Business Administration","St. Peters University, Kampala Campus",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Administration","Jeph International University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Statistics","Jeph International University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Leisure, Event and Hotel Management","Jeph International University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Dental Surgery","Jeph International University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science with Education (Math/ICT/Geography/Economics/Entrepreneurship)","Insan International University  (formerly Islamic Call University College)",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Kiswahili Language","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in Tourism and Hospitality Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Public Administration and Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Project Planning and Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Masters in Public Administration and Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Masters in Monitoring and Evaluation","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Masters in Human Resource Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Master of Arts in Project Planning and Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in Administrative and Secretarial Studies","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Diploma in Records and Archives Information Management","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Bible and Theology","Kumi University",Kumi,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Procurement and Logistics Management","Bishop Stuart University",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Development Economics","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Monitoring and Evaluation","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Human Resource Management","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Procurment and Supply Chain Management","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Postgraduate Diploma in Community Development","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Secretarial and Administrative Studies","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Bachelor of  Science in Environmental Science and Natural Resources Management","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Master of Monitoring and Evaluation","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Bachelor of International Relations and Security Studies","Gulu University",Gulu,03/Nov/2025,03/Nov/2030,Active
"Master in Institutional Governance and Leadership","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Public Administration","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Nursing Science-Completion","Mbarara University of Science and Technology",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Diploma in Law","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Diploma in Public Administration","Uganda Pentecostal University",Kabarole,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Arts with Education","University of Kisubi",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Social Work","University of Kisubi",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Administration and Management","University of Kisubi",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Studies with Education","University of Kisubi",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science with Education","University of Kisubi",Wakiso,03/Nov/2025,03/Nov/2030,Active
"Diploma in Social Work","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Administration in International Business","ISBAT University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Pre-Primary Education (BPPE)","Luigi Giussani Institute of Higher Education (LGIHE)",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Meteorology","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Biomedical Engineering   + + +","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Master of Architecture + + + +","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor Of Science in Horticulture","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Architecture","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Land Surveying and Geomatics","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Bio-Processing Engineering","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Science in Optometry","Makerere University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Nursing – Extension","Mayanja Memorial Medical Training Institute (MTI)",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Diploma in Midwifery – Extension","Mayanja Memorial Medical Training Institute (MTI)",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Diploma in Clinical Medicine and Community Health","Mayanja Memorial Medical Training Institute (MTI)",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Diploma in Medical Laboratory Technology","Mayanja Memorial Medical Training Institute (MTI)",Mbarara,03/Nov/2025,03/Nov/2030,Active
"Bachelor of  Social Work and Social A dministration (BSW)","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in  Public Administration and Management (DPAM)","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Business Administration (BBA)","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in Business Administration and Management (DBAM)","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Master in Business Administration","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Diploma in Hotel Management","Kabale University",Kabale,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Engineering in Electronics and Telecommunications Engineering","Kyambogo University",Kampala,03/Nov/2025,03/Nov/2030,Active
"Diploma in Primary Education","Ibanda University",Ibanda,03/Nov/2025,03/Nov/2030,Active
"Bachelor of Education Primary","Ibanda University",Ibanda,03/Nov/2025,03/Nov/2030,Active
"Master of Public Health","Cavendish University, Bukoto Campus",Kampala,04/Nov/2025,04/Nov/2030,Active
"Bachelor of Arts in Ethics and Human Rights","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Arts with Education","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Cyber Security","St. Lawrence University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Defense Studies (Programme Affiliation with Uganda Military Academy Kabamba","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Education Primary – Science","Bugema University",Luwero,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Medical Imaging Technology – Direct","Islamic University in Uganda",Mbale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Medical Imaging Technology – Top Up","Islamic University in Uganda",Mbale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Midwifery Science – Completion","Jeph International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Midwifery Science – Direct","Jeph International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Networking and Cyber Security","Cavendish University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Nursing Sciences – Completion","Jeph International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Nursing Science s – Direct","Jeph International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Pharmacy","Jeph International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Procurement and Logistics Management","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Biomedical Engineering","Ndejje University",Luwero,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Data Communication Networks","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Electrical Engineering","Busitema University, Main Campus",Busia,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science Physiotherapy – Direct","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education","Avance International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education","Bugema University",Luwero,13/Feb/2026,13/Feb/2031,Active
"Certificate in Christian Ministry","Cornerstone University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Diploma in Animal Production and Management","Bugema University",Luwero,13/Feb/2026,13/Feb/2031,Active
"Diploma in Medical Laboratory","Avance International University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Diploma of Radiography Technology","Islamic University in Uganda",Mbale,13/Feb/2026,13/Feb/2031,Active
"Higher Education Access Programme – Humanities","Cornerstone University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Arts in Public Administration and Management","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Education in Curriculum Studies","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Education in Educational Technology","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Hospitality and Tourism","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Science in Food Security and Nutrition","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Master of Science in Mechanical Engineering","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"PhD in Mechanical Engineering","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Certificate of Education","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Curriculum Studies","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Education","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Education","Mountains of the Moon University",Kabarole,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Education Administration and Management","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Education Planning and Management","Mountains of the Moon University",Kabarole,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Education Technology","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Instructional Design and Technology","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Postgraduate Diploma in Teacher Education","Kyambogo University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Diploma in Mechanical Engineering","African International Christian Ministry College of Science & Technology",Kabale,13/Feb/2026,13/Feb/2031,Active
"Diploma in Strategy and Warfare (programme affiliation with Senior Command and Staff College Kimaka)","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Defence and Security Studies (programme affiliation with Senior Command and Staff College Kimaka","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education –  Sports and Exercise","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education – Biological","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education – Physical","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Master of Science in Agri-Enterprises Development","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Master of Science in Applied Tropical Entomology and Parasitology","Gulu University",Gulu,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Software Engineering","Cavendish University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Arts in Music, Dance and Drama","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Commerce","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Bachelors Of Biomedical Laboratory Technology","Islamic University in Uganda",Mbale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Library and Information Science","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Arts in Social Development – Nsamizi","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Medicine in Radiology","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Master of Science in Pharmacognosy and Natural Medicine Science","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Physiotherapy (Completion)","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Sceince in  Electrical and Electronics Engineering","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Master of Medicine in Ophthalmology","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Master of Pharmacy (Clinical Pharmacy)","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Master of Public Health","Mbarara University of Science and Technology",Mbarara,13/Feb/2026,13/Feb/2031,Active
"Higher Education Certificate-Science (Biological and Physical)","Kabale University",Kabale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science with Education","Kabale University",Kabale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Arts in Social Sciences","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Master of Arts in International Relations and Diplomatic Studies","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Social Work","Makerere University",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Education External – Primary","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Education External – Secondary","Lira University",Lira,13/Feb/2026,13/Feb/2031,Active
"Chartered Bank Programme","Uganda Institute of Banking and Financial Services",Kampala,13/Feb/2026,13/Feb/2031,Active
"Diploma in Microfinance","Uganda Institute of Banking and Financial Services",Kampala,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Science in Agriculture","Kumi University",Kumi,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Agribusiness Management","Kabale University",Kabale,13/Feb/2026,13/Feb/2031,Active
"Bachelor of Anaesthesia and Critical Care Medicine  (Completion Programme)","Kabale University",Kabale,13/Feb/2026,13/Feb/2031,Active
"Diploma in Early Childhood Education( For Nursery School Teachers)","Bishop Stuart University",Mbarara,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of Environmental Management","Kampala University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of Science with Education, Chemistry","Kampala University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of Community Development","Kumi University",Kumi,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of Commerce","Kumi University",Kumi,26/Mar/2010,26/Mar/2015,"Under Review"
"Diploma in Languages","Kumi University",Kumi,26/Mar/2010,26/Mar/2015,"Under Review"
"Diploma in Community Development","Kumi University",Kumi,26/Mar/2010,26/Mar/2015,"Under Review"
"Diploma in Guidance and Counselling","Kumi University",Kumi,26/Mar/2010,26/Mar/2015,"Under Review"
"Master of Art and Industrial Design","Kyambogo University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of  Education ( Arts and Industrial Design)","Kyambogo University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Bachelor of  Education ( Business Studies)","Kyambogo University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Master of Arts in Organizational Psychology","Makerere University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"PhD  in Statistics","Makerere University",Kampala,26/Mar/2010,26/Mar/2020,"Under Review"
"Master of Science in Geology","Makerere University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Master of Mathematics","Makerere University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
"Master of Medicine – General Surgery","Makerere University",Kampala,26/Mar/2010,26/Mar/2015,"Under Review"
